city,population,average_education_index,crime_index,sixteen_plus_employed_percentage,house_median_value,edu_index_norm
Antigo,8075,12.66,2054,81.6,77200,0.7201365187713311
West Milwaukee,4214,12.65,3808,80.1,131000,0.7195676905574517
Marion,1171,12.65,685,79.2,91800,0.7195676905574517
Athens,1008,12.62,545,81.9,106400,0.7178612059158135
Juneau,2750,12.62,685,80.4,130700,0.7178612059158135
Berlin,5451,12.6,1064,79,103000,0.7167235494880546
Clintonville,4516,12.6,1641,81.4,91300,0.7167235494880546
North Fond Du Lac,5000,12.59,687,77.1,98500,0.7161547212741752
Beloit,36876,12.57,2045,76.7,85500,0.7150170648464165
Elroy,1385,12.55,888,80.4,82200,0.7138794084186577
Markesan,1510,12.54,651,79.9,108200,0.7133105802047782
Blair,1299,12.48,878,76.4,95500,0.7098976109215018
New Lisbon,2545,12.47,539,85.1,82900,0.7093287827076225
Gillett,1417,12.44,912,80.7,87500,0.7076222980659841
Mauston,4446,12.4,1807,82.4,103900,0.7053469852104666
Adams,1570,12.4,1892,80.4,81500,0.7053469852104666
Waupun,11336,12.37,782,83.1,120200,0.7036405005688282
Mayville,5086,12.36,492,81,137100,0.7030716723549488
Independence,1557,12.36,396,75.5,105200,0.7030716723549488
Barron,3392,12.33,904,82.6,87400,0.7013651877133107
Stanley,3606,12.31,712,83.6,87800,0.7002275312855518
Wautoma,2010,12.27,1111,75,85700,0.6979522184300342
Arcadia,2953,11.97,578,73.4,111000,0.680887372013652
